date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2024-02-21,750.0,750.0,733.6,738.35,1292,111,962231.0
2024-02-20,735.85,745.0,735.1,741.25,1245,65,919136.0
2024-02-19,705.0,740.35,705.0,738.7,2375,232,1746763.0
2024-02-16,722.5,728.45,717.15,717.65,1167,95,840706.0
2024-02-15,713.85,724.55,711.1,722.4,354,36,255406.0
2024-02-14,718.8,720.0,710.0,717.3,421,70,300654.0
2024-02-13,722.9,729.45,712.2,722.15,1612,81,1164918.0
2024-02-12,720.0,727.85,718.0,724.85,16129,80,11669000.0
2024-02-09,748.85,748.85,723.2,725.5,702,46,511418.0
2024-02-08,740.4,748.85,722.9,746.65,1083,134,796362.0
2024-02-07,748.9,748.9,738.05,740.35,1014,101,751521.0
2024-02-06,710.0,754.7,710.0,739.35,11532,236,8605473.0
2024-02-05,732.75,825.9,696.15,708.9,3626,465,2648139.0
2024-02-02,756.15,773.65,750.0,751.55,2161,145,1637947.0
2024-02-01,767.1,769.0,753.05,756.15,32296,51,24768615.0
2024-01-31,746.15,770.15,746.15,767.65,10018,24,7526083.0
2024-01-30,765.4,788.2,760.05,761.35,1726,250,1324672.0
2024-01-29,763.05,769.6,762.9,764.95,2227,79,1707851.0
2024-01-25,786.75,800.0,760.0,761.3,9528,214,7401607.0
2024-01-24,756.75,790.65,747.4,789.95,16440,257,12600921.0
2024-01-23,741.05,778.5,740.0,757.65,3529,268,2665607.0
2024-01-20,729.1,734.8,722.05,726.4,5722,101,4162729.0
2024-01-19,700.75,735.8,700.75,724.95,2095,127,1509663.0
2024-01-18,688.5,698.0,685.0,690.5,2847,177,1966957.0
2024-01-17,706.85,707.5,685.0,688.65,7669,202,5307020.0
2024-01-16,705.0,722.05,700.0,702.0,707442,202,498039968.0
2024-01-15,683.8,708.2,680.1,705.65,1688,208,1163072.0
2024-01-12,663.25,680.0,659.8,679.1,630,64,422463.0
2024-01-11,678.0,678.8,663.25,664.75,2111,124,1424705.0
2024-01-10,671.9,673.0,663.55,672.4,1155,78,776392.0
2024-01-09,665.9,672.0,662.0,670.25,1325,115,882109.0
2024-01-08,661.0,670.0,652.3,657.3,6689,151,4461435.0
2024-01-05,666.9,670.2,652.6,661.35,6709,174,4467860.0
2024-01-04,629.75,665.0,600.1,654.4,3595,155,2312730.0
2024-01-03,632.6,644.25,632.6,642.6,425,51,272877.0
2024-01-02,624.4,633.0,623.45,631.45,1782,48,1117847.0
2024-01-01,641.95,641.95,607.3,617.65,8676,565,5364655.0
2023-12-29,640.45,645.8,632.55,638.2,758,60,484420.0
2023-12-28,622.7,641.5,622.7,639.15,4094,156,2600264.0
2023-12-27,603.7,625.0,601.9,621.8,18564,102,11532826.0
2023-12-26,592.6,604.0,591.6,601.25,2146,102,1287188.0
2023-12-22,583.5,599.9,583.5,592.6,284144,110,168920011.0
2023-12-21,574.0,584.0,570.0,583.85,1593,97,919751.0
2023-12-20,592.55,601.8,575.5,577.75,2849,156,1669880.0
2023-12-19,599.8,602.3,592.0,592.0,9355,127,5607934.0
2023-12-18,597.35,605.1,589.55,595.1,3706,282,2212772.0
2023-12-15,612.15,620.7,596.55,603.3,5649,415,3443403.0
2023-12-14,614.05,619.0,614.0,616.6,482,36,296775.0
2023-12-13,600.05,616.0,600.05,614.05,826,260,506093.0
2023-12-12,610.9,611.0,592.4,609.35,41605,267,25189940.0
2023-12-11,612.0,613.7,602.15,611.6,2260,131,1370759.0
2023-12-08,607.45,609.75,549.5,607.65,19939,90,12119359.0
2023-12-07,612.8,616.6,608.0,610.3,52854,448,32304636.0
2023-12-06,646.0,646.0,621.0,629.0,4836,227,3034950.0
2023-12-05,637.45,646.0,623.65,634.4,2361,185,1497081.0
2023-12-04,620.0,640.0,620.0,637.05,1337,58,850543.0
2023-12-01,622.55,625.95,610.2,616.75,1751,128,1080054.0
2023-11-30,595.55,617.75,595.05,616.4,2329,99,1422591.0
2023-11-29,600.7,603.25,596.1,600.35,2058,119,1235616.0
2023-11-28,575.7,590.0,575.7,588.05,1365,92,793769.0
2023-11-24,582.9,582.9,575.7,578.3,1172,52,678105.0
2023-11-23,578.45,585.15,572.9,582.9,2337,161,1349553.0
2023-11-22,578.0,583.05,576.3,578.6,105229,204,60824491.0
2023-11-21,565.0,582.0,565.0,578.35,818,112,471709.0
2023-11-20,563.4,572.0,553.5,571.6,457,24,257126.0
2023-11-17,563.45,569.15,560.15,561.0,1864,76,1054705.0
2023-11-16,556.65,567.0,552.25,560.3,3634,295,2040498.0
2023-11-15,549.15,561.4,547.5,561.2,1388,140,768992.0
2023-11-13,547.4,548.0,541.65,546.05,951,150,519088.0
2023-11-12,549.4,549.75,548.0,548.9,381,57,209150.0
2023-11-10,501.2,547.45,501.2,546.0,146,18,79277.0
2023-11-09,546.25,548.45,541.75,542.25,781,81,424454.0
2023-11-08,547.05,549.85,545.5,547.55,611,38,334612.0
2023-11-07,550.5,551.4,545.2,545.2,827,40,452899.0
